COMUNE,ANNO,LISTA,LBL_TIPO_METRICA,ABS_RANK,TIPO_METRICA,LOCALE,REGIONALE,FLG_NOT_VALID
VANZAGHELLO,2005,VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1
VANZAGHELLO,2005,ASTENUTI,Voti ottenuti,3,VOTI_OTTENUTI,1060.0,2065072.0,1
VANZAGHELLO,2005,ASTENUTI,Percentuale (su aventi diritto),3,PERC_ASS,25.51,27.03,1
VANZAGHELLO,2005,ASTENUTI,Percentuale (su voti validi),3,PERC_VAL,,,1
VANZAGHELLO,2005,NULLE,Percentuale (su voti validi),8,PERC_VAL,,,1
VANZAGHELLO,2005,NULLE,Percentuale (su aventi diritto),8,PERC_ASS,3.68,2.82,1
VANZAGHELLO,2005,NULLE,Voti ottenuti,8,VOTI_OTTENUTI,153.0,215448.0,1
VANZAGHELLO,2005,BIANCHE,Percentuale (su voti validi),16,PERC_VAL,,,1
VANZAGHELLO,2005,BIANCHE,Voti ottenuti,16,VOTI_OTTENUTI,36.0,81420.0,1
VANZAGHELLO,2005,BIANCHE,Percentuale (su aventi diritto),16,PERC_ASS,0.87,1.07,1
VANZAGHELLO,2010,ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4215.0,7694756.0,1
VANZAGHELLO,2010,ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1
VANZAGHELLO,2010,ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1
VANZAGHELLO,2010,VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,2797.0,4973519.0,1
VANZAGHELLO,2010,VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,66.36,64.64,1
VANZAGHELLO,2010,VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1
VANZAGHELLO,2010,ASTENUTI,Voti ottenuti,3,VOTI_OTTENUTI,1418.0,2721237.0,1
VANZAGHELLO,2010,ASTENUTI,Percentuale (su aventi diritto),3,PERC_ASS,33.64,35.36,1
VANZAGHELLO,2010,ASTENUTI,Percentuale (su voti validi),3,PERC_VAL,,,1
VANZAGHELLO,2010,NULLE,Percentuale (su aventi diritto),9,PERC_ASS,1.33,1.42,1
VANZAGHELLO,2010,NULLE,Percentuale (su voti validi),9,PERC_VAL,,,1
VANZAGHELLO,2010,NULLE,Voti ottenuti,9,VOTI_OTTENUTI,56.0,109498.0,1
VANZAGHELLO,2010,BIANCHE,Voti ottenuti,13,VOTI_OTTENUTI,28.0,44445.0,1
VANZAGHELLO,2010,BIANCHE,Percentuale (su aventi diritto),13,PERC_ASS,0.66,0.58,1
VANZAGHELLO,2010,BIANCHE,Percentuale (su voti validi),13,PERC_VAL,,,1
VANZAGHELLO,2013,ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4259.0,7738280.0,1
VANZAGHELLO,2013,ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1
VANZAGHELLO,2013,ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1
VANZAGHELLO,2013,VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3349.0,5938044.0,1
VANZAGHELLO,2013,VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,78.63,76.74,1
VANZAGHELLO,2013,VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1
VANZAGHELLO,2013,ASTENUTI,Percentuale (su aventi diritto),5,PERC_ASS,21.37,23.26,1
VANZAGHELLO,2013,ASTENUTI,Percentuale (su voti validi),5,PERC_VAL,,,1
VANZAGHELLO,2013,ASTENUTI,Voti ottenuti,5,VOTI_OTTENUTI,910.0,1800236.0,1
VANZAGHELLO,2013,NULLE,Voti ottenuti,14,VOTI_OTTENUTI,91.0,132931.0,1
VANZAGHELLO,2013,NULLE,Percentuale (su aventi diritto),14,PERC_ASS,2.14,1.72,1
VANZAGHELLO,2013,NULLE,Percentuale (su voti validi),14,PERC_VAL,,,1
VANZAGHELLO,2013,BIANCHE,Percentuale (su voti validi),17,PERC_VAL,,,1
VANZAGHELLO,2013,BIANCHE,Voti ottenuti,17,VOTI_OTTENUTI,33.0,67286.0,1
VANZAGHELLO,2013,BIANCHE,Percentuale (su aventi diritto),17,PERC_ASS,0.77,0.87,1
VANZAGHELLO,2018,ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4283.0,7882633.0,1
VANZAGHELLO,2018,ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1
VANZAGHELLO,2018,ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1
VANZAGHELLO,2018,VOTANTI,Voti ottenuti,2,VOTI_OTTENUTI,3295.0,5762459.0,1
VANZAGHELLO,2018,VOTANTI,Percentuale (su aventi diritto),2,PERC_ASS,76.93,73.1,1
VANZAGHELLO,2018,VOTANTI,Percentuale (su voti validi),2,PERC_VAL,,,1
VANZAGHELLO,2018,ASTENUTI,Percentuale (su aventi diritto),5,PERC_ASS,23.07,26.9,1
VANZAGHELLO,2018,ASTENUTI,Percentuale (su voti validi),5,PERC_VAL,,,1
VANZAGHELLO,2018,ASTENUTI,Voti ottenuti,5,VOTI_OTTENUTI,988.0,2120174.0,1
VANZAGHELLO,2018,NULLE,Percentuale (su aventi diritto),13,PERC_ASS,1.52,1.12,1
VANZAGHELLO,2018,NULLE,Percentuale (su voti validi),13,PERC_VAL,,,1
VANZAGHELLO,2018,NULLE,Voti ottenuti,13,VOTI_OTTENUTI,65.0,87911.0,1
VANZAGHELLO,2018,BIANCHE,Voti ottenuti,21,VOTI_OTTENUTI,29.0,60067.0,1
VANZAGHELLO,2018,BIANCHE,Percentuale (su voti validi),21,PERC_VAL,,,1
VANZAGHELLO,2018,BIANCHE,Percentuale (su aventi diritto),21,PERC_ASS,0.68,0.76,1
VANZAGHELLO,2023,ELETTORI,Voti ottenuti,1,VOTI_OTTENUTI,4282.0,8010538.0,1
VANZAGHELLO,2023,ELETTORI,Percentuale (su aventi diritto),1,PERC_ASS,100.0,100.0,1
VANZAGHELLO,2023,ELETTORI,Percentuale (su voti validi),1,PERC_VAL,,,1
VANZAGHELLO,2023,ASTENUTI,Voti ottenuti,2,VOTI_OTTENUTI,2468.0,4671519.0,1
VANZAGHELLO,2023,ASTENUTI,Percentuale (su aventi diritto),2,PERC_ASS,57.64,58.32,1
VANZAGHELLO,2023,ASTENUTI,Percentuale (su voti validi),2,PERC_VAL,,,1
VANZAGHELLO,2023,VOTANTI,Voti ottenuti,3,VOTI_OTTENUTI,1814.0,3339019.0,1
VANZAGHELLO,2023,VOTANTI,Percentuale (su aventi diritto),3,PERC_ASS,42.36,41.68,1
VANZAGHELLO,2023,VOTANTI,Percentuale (su voti validi),3,PERC_VAL,,,1
VANZAGHELLO,2023,NULLE,Percentuale (su voti validi),15,PERC_VAL,,,1
VANZAGHELLO,2023,NULLE,Voti ottenuti,15,VOTI_OTTENUTI,28.0,72404.0,1
VANZAGHELLO,2023,NULLE,Percentuale (su aventi diritto),15,PERC_ASS,0.65,0.9,1
VANZAGHELLO,2023,BIANCHE,Voti ottenuti,21,VOTI_OTTENUTI,10.0,20861.0,1
VANZAGHELLO,2023,BIANCHE,Percentuale (su aventi diritto),21,PERC_ASS,0.23,0.26,1
VANZAGHELLO,2023,BIANCHE,Percentuale (su voti validi),21,PERC_VAL,,,1
