TIPO_ELEZIONI,ANNO,MESE,GIORNO,CANDIDATO,CANDIDATO_LISTA,ABS_RANK,TIPO_METRICA,VOTI,LBL_TIPO_METRICA
COMUNALI,2004,giugno,12,ASTENUTI,ASTENUTI,4,PERC_ASS,17.72,Percentuale (su aventi diritto)
COMUNALI,2004,giugno,12,BIANCHE,BIANCHE,5,PERC_ASS,1.77,Percentuale (su aventi diritto)
COMUNALI,2004,giugno,12,BIANCHE,BIANCHE,5,VOTI_OTTENUTI,73.0,Voti ottenuti
COMUNALI,2004,giugno,12,NULLE,NULLE,6,VOTI_OTTENUTI,63.0,Voti ottenuti
COMUNALI,2004,giugno,12,NULLE,NULLE,6,PERC_ASS,1.53,Percentuale (su aventi diritto)
COMUNALI,2009,giugno,7,GUALDONI GIAN BATTISTA,"GUALDONI GIAN BATTISTA
INSIEME PER GUALDONI SINDACO VANZAGHELLO",1,VOTI_OTTENUTI,1357.0,Voti ottenuti
COMUNALI,2009,giugno,7,GUALDONI GIAN BATTISTA,"GUALDONI GIAN BATTISTA
INSIEME PER GUALDONI SINDACO VANZAGHELLO",1,PERC_ASS,31.97,Percentuale (su aventi diritto)
COMUNALI,2009,giugno,7,GUALDONI GIAN BATTISTA,"GUALDONI GIAN BATTISTA
INSIEME PER GUALDONI SINDACO VANZAGHELLO",1,PERC_VAL,41.0,Percentuale (su voti validi)
COMUNALI,2009,giugno,7,GARASCIA EMILIO MARIO,"GARASCIA EMILIO MARIO
IL POPOLO DELLA LIBERTA'",2,VOTI_OTTENUTI,981.0,Voti ottenuti
COMUNALI,2009,giugno,7,GARASCIA EMILIO MARIO,"GARASCIA EMILIO MARIO
IL POPOLO DELLA LIBERTA'",2,PERC_ASS,23.11,Percentuale (su aventi diritto)
COMUNALI,2009,giugno,7,GARASCIA EMILIO MARIO,"GARASCIA EMILIO MARIO
IL POPOLO DELLA LIBERTA'",2,PERC_VAL,29.64,Percentuale (su voti validi)
COMUNALI,2009,giugno,7,ASTENUTI,ASTENUTI,3,VOTI_OTTENUTI,846.0,Voti ottenuti
COMUNALI,2009,giugno,7,ASTENUTI,ASTENUTI,3,PERC_ASS,19.93,Percentuale (su aventi diritto)
COMUNALI,2009,giugno,7,VITALI TERESA,"VITALI TERESA
TERESA VITALI SINDACO",4,PERC_ASS,13.69,Percentuale (su aventi diritto)
COMUNALI,2009,giugno,7,VITALI TERESA,"VITALI TERESA
TERESA VITALI SINDACO",4,PERC_VAL,17.55,Percentuale (su voti validi)
COMUNALI,2009,giugno,7,VITALI TERESA,"VITALI TERESA
TERESA VITALI SINDACO",4,VOTI_OTTENUTI,581.0,Voti ottenuti
COMUNALI,2009,giugno,7,RUDONI ALESSIO,"RUDONI ALESSIO
LEGA NORD",5,PERC_VAL,11.81,Percentuale (su voti validi)
COMUNALI,2009,giugno,7,RUDONI ALESSIO,"RUDONI ALESSIO
LEGA NORD",5,VOTI_OTTENUTI,391.0,Voti ottenuti
COMUNALI,2009,giugno,7,RUDONI ALESSIO,"RUDONI ALESSIO
LEGA NORD",5,PERC_ASS,9.21,Percentuale (su aventi diritto)
COMUNALI,2009,giugno,7,NULLE,NULLE,6,VOTI_OTTENUTI,51.0,Voti ottenuti
COMUNALI,2009,giugno,7,NULLE,NULLE,6,PERC_ASS,1.2,Percentuale (su aventi diritto)
COMUNALI,2009,giugno,7,BIANCHE,BIANCHE,7,VOTI_OTTENUTI,38.0,Voti ottenuti
COMUNALI,2009,giugno,7,BIANCHE,BIANCHE,7,PERC_ASS,0.9,Percentuale (su aventi diritto)
COMUNALI,2014,maggio,25,GIANI LEOPOLDO ANGELO,"GIANI LEOPOLDO ANGELO
INSIEME PER VANZAGHELLO",1,VOTI_OTTENUTI,1768.0,Voti ottenuti
COMUNALI,2014,maggio,25,GIANI LEOPOLDO ANGELO,"GIANI LEOPOLDO ANGELO
INSIEME PER VANZAGHELLO",1,PERC_VAL,59.59,Percentuale (su voti validi)
COMUNALI,2014,maggio,25,GIANI LEOPOLDO ANGELO,"GIANI LEOPOLDO ANGELO
INSIEME PER VANZAGHELLO",1,PERC_ASS,41.68,Percentuale (su aventi diritto)
COMUNALI,2014,maggio,25,VALLI ELENA,"VALLI ELENA
LEGA NORD-BASTA €URO-CIVICA",2,VOTI_OTTENUTI,1199.0,Voti ottenuti
COMUNALI,2014,maggio,25,VALLI ELENA,"VALLI ELENA
LEGA NORD-BASTA €URO-CIVICA",2,PERC_VAL,40.41,Percentuale (su voti validi)
COMUNALI,2014,maggio,25,VALLI ELENA,"VALLI ELENA
LEGA NORD-BASTA €URO-CIVICA",2,PERC_ASS,28.26,Percentuale (su aventi diritto)
COMUNALI,2014,maggio,25,ASTENUTI,ASTENUTI,3,VOTI_OTTENUTI,1178.0,Voti ottenuti
COMUNALI,2014,maggio,25,ASTENUTI,ASTENUTI,3,PERC_ASS,27.77,Percentuale (su aventi diritto)
COMUNALI,2014,maggio,25,BIANCHE,BIANCHE,4,VOTI_OTTENUTI,50.0,Voti ottenuti
COMUNALI,2014,maggio,25,BIANCHE,BIANCHE,4,PERC_ASS,1.18,Percentuale (su aventi diritto)
COMUNALI,2014,maggio,25,NULLE,NULLE,5,VOTI_OTTENUTI,47.0,Voti ottenuti
COMUNALI,2014,maggio,25,NULLE,NULLE,5,PERC_ASS,1.11,Percentuale (su aventi diritto)
COMUNALI,2019,maggio,26,GATTI ARCONTE,"GATTI ARCONTE
LEGA SALVINI-RIACCENDIAMO VANZAGHELLO",1,VOTI_OTTENUTI,1583.0,Voti ottenuti
COMUNALI,2019,maggio,26,GATTI ARCONTE,"GATTI ARCONTE
LEGA SALVINI-RIACCENDIAMO VANZAGHELLO",1,PERC_VAL,53.88,Percentuale (su voti validi)
COMUNALI,2019,maggio,26,GATTI ARCONTE,"GATTI ARCONTE
LEGA SALVINI-RIACCENDIAMO VANZAGHELLO",1,PERC_ASS,37.31,Percentuale (su aventi diritto)
COMUNALI,2019,maggio,26,GUALDONI GIAN BATTISTA,"GUALDONI GIAN BATTISTA
INSIEME PER VANZAGHELLO",2,VOTI_OTTENUTI,1355.0,Voti ottenuti
COMUNALI,2019,maggio,26,GUALDONI GIAN BATTISTA,"GUALDONI GIAN BATTISTA
INSIEME PER VANZAGHELLO",2,PERC_VAL,46.12,Percentuale (su voti validi)
COMUNALI,2019,maggio,26,GUALDONI GIAN BATTISTA,"GUALDONI GIAN BATTISTA
INSIEME PER VANZAGHELLO",2,PERC_ASS,31.93,Percentuale (su aventi diritto)
COMUNALI,2019,maggio,26,ASTENUTI,ASTENUTI,3,VOTI_OTTENUTI,1216.0,Voti ottenuti
COMUNALI,2019,maggio,26,ASTENUTI,ASTENUTI,3,PERC_ASS,28.66,Percentuale (su aventi diritto)
COMUNALI,2019,maggio,26,NULLE,NULLE,4,VOTI_OTTENUTI,50.0,Voti ottenuti
COMUNALI,2019,maggio,26,NULLE,NULLE,4,PERC_ASS,1.18,Percentuale (su aventi diritto)
COMUNALI,2019,maggio,26,BIANCHE,BIANCHE,5,VOTI_OTTENUTI,39.0,Voti ottenuti
COMUNALI,2019,maggio,26,BIANCHE,BIANCHE,5,PERC_ASS,0.92,Percentuale (su aventi diritto)
COMUNALI,2024,giugno,09,GATTI ARCONTE,"GATTI ARCONTE
CENTRODESTRA UNITO PER VANZAGHELLO - RIACCENDIAMO VANZAGHELLO",1,VOTI_OTTENUTI,1682.0,Voti ottenuti
